6326000	614000	4835
6325750	614000	4860
6325500	614000	4881
6325250	614000	4895
6325000	614000	4909
6324750	614000	4928
6324500	614000	4962
6324250	614000	4986
6324000	614000	5003
6323750	614000	5023
6323500	614000	5043
6323250	614000	5055
6323000	614000	5059
6322750	614000	5061
6322500	614000	5069
6322250	614000	5081
6322000	614000	5090
6321750	614000	5092
6321500	614000	5092
6321250	614000	5092
6321000	614000	5091
6320750	614000	5091
6320500	614000	5093
6320250	614000	5099
6320000	614000	5107
6319750	614000	5115
6319500	614000	5121
6319250	614000	5127
6319000	614000	5131
6326000	614250	4831
6325750	614250	4849
6325500	614250	4865
6325250	614250	4882
6325000	614250	4896
6324750	614250	4913
6324500	614250	4949
6324250	614250	4976
6324000	614250	4997
6323750	614250	5016
6323500	614250	5034
6323250	614250	5044
6323000	614250	5045
6322750	614250	5044
6322500	614250	5050
6322250	614250	5062
6322000	614250	5071
6321750	614250	5074
6321500	614250	5079
6321250	614250	5080
6321000	614250	5081
6320750	614250	5083
6320500	614250	5088
6320250	614250	5094
6320000	614250	5101
6319750	614250	5108
6319500	614250	5115
6319250	614250	5122
6319000	614250	5128
6326000	614500	4830
6325750	614500	4841
6325500	614500	4853
6325250	614500	4871
6325000	614500	4885
6324750	614500	4902
6324500	614500	4933
6324250	614500	4962
6324000	614500	4987
6323750	614500	5007
6323500	614500	5025
6323250	614500	5035
6323000	614500	5033
6322750	614500	5026
6322500	614500	5030
6322250	614500	5038
6322000	614500	5044
6321750	614500	5054
6321500	614500	5065
6321250	614500	5068
6321000	614500	5070
6320750	614500	5073
6320500	614500	5079
6320250	614500	5087
6320000	614500	5095
6319750	614500	5102
6319500	614500	5109
6319250	614500	5117
6319000	614500	5125
6326000	614750	4837
6325750	614750	4839
6325500	614750	4842
6325250	614750	4862
6325000	614750	4884
6324750	614750	4898
6324500	614750	4923
6324250	614750	4950
6324000	614750	4979
6323750	614750	5000
6323500	614750	5016
6323250	614750	5026
6323000	614750	5021
6322750	614750	5014
6322500	614750	5013
6322250	614750	5015
6322000	614750	5021
6321750	614750	5038
6321500	614750	5051
6321250	614750	5056
6321000	614750	5056
6320750	614750	5062
6320500	614750	5069
6320250	614750	5077
6320000	614750	5087
6319750	614750	5095
6319500	614750	5103
6319250	614750	5112
6319000	614750	5123
6326000	615000	4848
6325750	615000	4845
6325500	615000	4842
6325250	615000	4859
6325000	615000	4879
6324750	615000	4902
6324500	615000	4922
6324250	615000	4943
6324000	615000	4966
6323750	615000	4993
6323500	615000	5011
6323250	615000	5016
6323000	615000	5008
6322750	615000	5001
6322500	615000	4998
6322250	615000	4999
6322000	615000	5007
6321750	615000	5023
6321500	615000	5033
6321250	615000	5035
6321000	615000	5043
6320750	615000	5052
6320500	615000	5059
6320250	615000	5067
6320000	615000	5076
6319750	615000	5085
6319500	615000	5095
6319250	615000	5106
6319000	615000	5118
6326000	615250	4852
6325750	615250	4852
6325500	615250	4857
6325250	615250	4867
6325000	615250	4880
6324750	615250	4903
6324500	615250	4923
6324250	615250	4942
6324000	615250	4958
6323750	615250	4986
6323500	615250	5009
6323250	615250	5009
6323000	615250	4990
6322750	615250	4982
6322500	615250	4984
6322250	615250	4988
6322000	615250	4992
6321750	615250	5000
6321500	615250	5009
6321250	615250	5018
6321000	615250	5031
6320750	615250	5045
6320500	615250	5053
6320250	615250	5060
6320000	615250	5067
6319750	615250	5074
6319500	615250	5087
6319250	615250	5101
6319000	615250	5114
6326000	615500	4846
6325750	615500	4857
6325500	615500	4869
6325250	615500	4875
6325000	615500	4884
6324750	615500	4902
6324500	615500	4922
6324250	615500	4940
6324000	615500	4955
6323750	615500	4975
6323500	615500	5005
6323250	615500	5003
6323000	615500	4966
6322750	615500	4957
6322500	615500	4966
6322250	615500	4972
6322000	615500	4972
6321750	615500	4975
6321500	615500	4987
6321250	615500	4998
6321000	615500	5016
6320750	615500	5035
6320500	615500	5049
6320250	615500	5054
6320000	615500	5059
6319750	615500	5064
6319500	615500	5080
6319250	615500	5097
6319000	615500	5111
6326000	615750	4834
6325750	615750	4849
6325500	615750	4874
6325250	615750	4883
6325000	615750	4887
6324750	615750	4899
6324500	615750	4919
6324250	615750	4940
6324000	615750	4957
6323750	615750	4975
6323500	615750	5002
6323250	615750	4997
6323000	615750	4947
6322750	615750	4929
6322500	615750	4940
6322250	615750	4942
6322000	615750	4939
6321750	615750	4941
6321500	615750	4961
6321250	615750	4977
6321000	615750	4995
6320750	615750	5016
6320500	615750	5038
6320250	615750	5048
6320000	615750	5054
6319750	615750	5060
6319500	615750	5076
6319250	615750	5093
6319000	615750	5108
